,exp_iso3,group,year,av_degree,clustering,modularity,avg_duration,super,seq0.5,seq0.75
3478,DNK,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.555555555555556,0.4974997,1,1
3479,ESP,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.75,0.8658297,0,0
3480,FRA,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.666666666666667,0.5768722,0,1
3481,GBR,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.611111111111111,0.5671018,0,1
3482,GRL,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.2,0.944351,0,0
3483,IRL,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.714285714285714,1.286823,0,0
3484,ISL,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.647058823529412,1.061836,0,0
3485,NLD,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.555555555555556,0.2254108,1,1
3486,NOR,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.576923076923077,0.8199777,0,0
3487,RUS,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.666666666666667,1.265176,0,0
3488,SWE,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.692307692307692,0.2080441,1,1
3489,USA,haddock,2010,7.35384615384615,0.336168084042021,0.000148806918646494,0.333333333333333,0.297772883,1,1
3490,BEL,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.75,0.389416812,1,1
3491,CAN,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,1,0.473214047,1,1
3492,DEU,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.666666666666667,0.4934051,1,1
3493,DNK,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.55,0.4938966,1,1
3494,ESP,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.428571428571429,0.857222,0,0
3495,FRA,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.666666666666667,0.6697492,0,1
3496,GBR,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.785714285714286,0.5353082,0,1
3497,GRL,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,1,0.8545464,0,0
3498,IRL,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.666666666666667,1.234521,0,0
3499,ISL,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.588235294117647,0.8111015,0,0
3500,NLD,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.454545454545455,0.2423547,1,1
3501,NOR,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.64,0.8759856,0,0
3502,RUS,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.714285714285714,1.336237,0,0
3503,SWE,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.818181818181818,0.2183653,1,1
3504,USA,haddock,2011,8.20689655172414,0.338514680483592,0.0458300967445802,0.166666666666667,0.388559199,1,1
3505,BEL,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.75,0.349214598,1,1
3506,CAN,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.333333333333333,0.225728018,1,1
3507,DEU,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.583333333333333,0.6111539,0,1
3508,DNK,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.666666666666667,0.4893405,1,1
3509,ESP,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.3,0.7708345,0,0
3510,FRA,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.5,0.6316,0,1
3511,GBR,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.529411764705882,0.6036054,0,1
3512,IRL,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.8,1.226683,0,0
3513,ISL,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.666666666666667,1.016464,0,0
3514,NLD,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.3,0.1977013,1,1
3515,NOR,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.571428571428571,0.7516009,0,0
3516,RUS,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.615384615384615,1.470941,0,0
3517,SWE,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.909090909090909,0.2561593,1,1
3518,USA,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.166666666666667,0.232051835,1,1
3519,GRL,haddock,2012,9.18367346938776,0.394374282433984,0.00310123456790123,0.5,1.075011,0,0
3520,BEL,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.5,0.431129857,1,1
3521,CAN,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.25,0.449673469,1,1
3522,DEU,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.5,0.5571903,0,1
3523,DNK,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.409090909090909,0.4916439,1,1
3524,ESP,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.5,0.7708967,0,0
3525,FRA,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.7,0.6379237,0,1
3526,GBR,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.5,0.6451898,0,1
3527,IRL,haddock,2013,8.94117647058824,0.39519906323185,0.0488323330255464,0.571428571428571,1.235486,0,0
